,sentences,entities
407,The XP14BRneo17 cell line contains Rhesus macaque polyomavirus as a transformant.,"[Span[1:2]: ""XP14BRneo17"" → CellLine (0.9950)]"
408,The Transformed cell line includes AG14799.,[]
409,AG14799 is sourced from blood.,[]
410,GRC#0716 is a type of Finite cell line.,[]
411,blood is the origin of the GM19094.,[]
412,The GM19094 cell line contains human gammaherpesvirus 4 as a transformant.,[]
413,HTh83 was derived from thyroid gland.,[]
414,Epstein-Barr virus is the transformant in the GM19094 cell line.,[]
415,GM19094 is sourced from portion of blood.,[]
416,The  RPE 28 SV4 cell line contains Betapolyomavirus macacae as a transformant.,"[Span[1:3]: ""RPE 28"" → CellLine (0.9931), Span[3:4]: ""SV4"" → CellLine (0.9206)]"
417,GM19094 is a type of Transformed cell line.,[]
418,GM19094 was derived from vertebrate blood.,[]
419,The Cancer cell line includes  TGW-I-nu.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]"
420,GM20237 was derived from vertebrate blood.,[]
421,Human herpesvirus type 4 is the transformant in the GM20237 cell line.,[]
422, OSA was derived from femur.,[]
423,The Human herpesvirus type 4 transformed GM20237.,[]
424,GM20237 was derived from blood.,[]
425,The Betapolyomavirus macacae transformed AC16 [Human hybrid cardiomyocyte].,"[Span[4:5]: ""AC16"" → CellLine (0.9996)]"
426,The Transformed cell line includes GM20237.,[]
427,portion of blood is the origin of the GM20237.,[]
428,Hs 919.Sk is a type of Finite cell line.,"[Span[0:2]: ""Hs 919.Sk"" → CellLine (0.9999)]"
429,The donor of DA01073 has Adult Onset Diabetes.,[]
430,DA01073 is a type of Transformed cell line.,[]
431,The donor of  H-60 has Small cell lung cancer.,[]
432,vertebrate blood is the origin of the DA01073.,[]
433,The DA01073 cell line contains Epstein Barr virus as a transformant.,[]
434,Hs 919.Sk was derived from skin organ.,"[Span[0:2]: ""Hs 919.Sk"" → CellLine (0.9972)]"
435,The human gammaherpesvirus 4 transformed DA01073.,[]
436,DA01073 cell line belongs to the category of Transformed cell line.,[]
437,The MR6 cell line contains Human papilloma virus type 18 as a transformant.,"[Span[1:2]: ""MR6"" → CellLine (0.9984)]"
438,DA01073 is a type of Transformed cell line.,[]
439,DA01073 comes from a patient with NIDDM.,[]
440,The Cancer cell line includes  Patton.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]"
441,A patient of Astrocytoma contributed to  LN308.,[]
442,The Cancer cell line includes  LNZ 308.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]"
443,The donor of ND09373 has Amyotrophic lateral sclerosis.,[]
444,The donor of  LN-Z308 has Astrocytoma.,[]
445," LNZ308 was derived from Brain, right parieto-occipital lobe..",[]
446,The donor of  KPLRY has B-lymphoblastic leukemia/lymphoma with t(v;11q23.3).,[]
447,"Brain, right parieto-occipital lobe. is the origin of the  LNZ 308.",[]
448,The Cancer cell line includes  LN-Z308.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""LN-Z308"" → CellLine (0.9978)]"
449,GM05560 was derived from vertebrate blood.,[]
450, LNZ308 is a type of Cancer cell line.,"[Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]"
451," LN-Z308 comes from a patient with Astrocytoma, NOS.",[]
452,CB57/C91PL is a type of Transformed cell line.,[]
453,blood is the origin of the DA00495.,[]
454,DA00495 cell line belongs to the category of Transformed cell line.,[]
455,CCD-1126Sk is sourced from skin of breast.,[]
456,The Epstein Barr virus transformed DA00495.,[]
457,The Transformed cell line includes DA00495.,[]
458,The human papillomavirus type 16 HPV16 transformed SKG-IIIb.,[]
459,DA00495 cell line belongs to the category of Transformed cell line.,[]
460,DA00495 is sourced from portion of blood.,[]
461,GM07209 cell line belongs to the category of Finite cell line.,[]
462,portion of blood is the origin of the GM17131.,[]
463,GM17131 is a type of Transformed cell line.,[]
464,SF8428 is sourced from entire skin.,[]
465,Human herpesvirus 4 (Epstein-Barr virus) is the transformant in the GM17131 cell line.,"[Span[12:13]: ""GM17131"" → CellLine (0.9784)]"
466,GM14864 is sourced from portion of blood.,[]
467,The HB1.F3 cell line contains v-Myc as a transformant.,"[Span[1:2]: ""HB1.F3"" → CellLine (0.9973)]"
468,The Transformed cell line includes GM17131.,[]
469,GM17131 is sourced from vertebrate blood.,[]
470, NCI-HUT-292 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""NCI-HUT-292"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]"
471,A patient of Amyotrophic Lateral Sclerosis contributed to ND12214.,[]
472,The Transformed cell line includes ND12214.,[]
473,A patient of Becker muscular dystrophy contributed to GM05082.,[]
474,A patient of Amyotrophic lateral sclerosis contributed to ND12214.,[]
475,The ND12214 cell line contains Epstein-Barr virus EBV as a transformant.,"[Span[1:2]: ""ND12214"" → CellLine (0.9687)]"
476,"DA00347 comes from a patient with Diabetes, Type II.",[]
477,ND12214 was derived from portion of blood.,[]
478,ND12214 comes from a patient with Amyotrophic lateral sclerosis.,[]
479,arm skin is the origin of the  GRC#0298.,[]
480,The Human herpesvirus 4 transformed ND12214.,[]
481,ND12214 is sourced from blood.,[]
482,Polyomavirus maccacae is the transformant in the AC16 [Human hybrid cardiomyocyte] cell line.,"[Span[7:8]: ""AC16"" → CellLine (1.0000)]"
483,ND12214 is a type of Transformed cell line.,"[Span[0:1]: ""ND12214"" → CellLine (0.9501)]"
484,A patient of ALS contributed to ND12214.,[]
485,The Finite cell line includes GM 09811.,[]
486,GM16798 comes from a patient with Friedreich Ataxia.,[]
487,The Transformed cell line includes GM16798.,[]
488,DA01739 comes from a patient with Type 2 Diabetes Mellitus Non-Insulin Dependent.,[]
489,A patient of Friedreich ataxia contributed to GM16798.,[]
490,GM16798 was derived from blood.,[]
491,The donor of GM04617 has Down syndrome.,[]
492,GM16798 was derived from blood.,[]
493,Epstein-Barr virus EBV is the transformant in the GM16798 cell line.,[]
494,GRC#0716 is sourced from skin of arm.,[]
495,Epstein Barr virus is the transformant in the GM16798 cell line.,[]
496,GM16798 cell line belongs to the category of Transformed cell line.,[]
497,The SVOG-3e cell line contains Betapolyomavirus macacae as a transformant.,"[Span[1:2]: ""SVOG-3e"" → CellLine (0.9980)]"
498,GM16798 is a type of Transformed cell line.,[]
499,Human herpesvirus 4 is the transformant in the GM16798 cell line.,[]
