,sentences,entities,search_text
166,A patient of Type 2 Diabetes Mellitus Non-Insulin Dependent contributed to DA04651.,[],"['A', 'patient', 'of', 'Type', '2', 'Diabetes', 'Mellitus', 'Non-Insulin', 'Dependent', 'contributed', 'to', 'DA04651.']"
167,GM 09811 is sourced from skin organ.,[],"['GM', '09811', 'is', 'sourced', 'from', 'skin', 'organ.']"
168,The Epstein Barr virus transformed DA04651.,[],"['The', 'Epstein', 'Barr', 'virus', 'transformed', 'DA04651.']"
169,DA04651 is a type of Transformed cell line.,[],"['DA04651', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
170,The rhesus polyomavirus transformed AC16 [Human hybrid cardiomyocyte].,"[Span[4:5]: ""AC16"" → CellLine (0.9996)]","['The', 'rhesus', 'polyomavirus', 'transformed', 'AC16', '[Human', 'hybrid', 'cardiomyocyte].']"
171,The Transformed cell line includes DA04651.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA04651.']"
172,Epstein Barr virus is the transformant in the DA04651 cell line.,[],"['Epstein', 'Barr', 'virus', 'is', 'the', 'transformant', 'in', 'the', 'DA04651', 'cell', 'line.']"
173,The Cancer cell line includes MFH-ino.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', 'MFH-ino.']"
174,AG07616 was derived from vertebrate blood.,[],"['AG07616', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
175,AG07616 cell line belongs to the category of Transformed cell line.,[],"['AG07616', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
176,CCD-1126Sk is sourced from skin of breast.,[],"['CCD-1126Sk', 'is', 'sourced', 'from', 'skin', 'of', 'breast.']"
177,The Human herpesvirus 4 (Epstein-Barr virus) transformed AG07616.,[],"['The', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'transformed', 'AG07616.']"
178,AG07616 was derived from portion of blood.,[],"['AG07616', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
179,human papillomavirus 18 is the transformant in the KB-CP20 cell line.,"[Span[8:9]: ""KB-CP20"" → CellLine (1.0000)]","['human', 'papillomavirus', '18', 'is', 'the', 'transformant', 'in', 'the', 'KB-CP20', 'cell', 'line.']"
180,AG07616 cell line belongs to the category of Transformed cell line.,[],"['AG07616', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
181,The AG07616 cell line contains Epstein-Barr virus as a transformant.,[],"['The', 'AG07616', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'as', 'a', 'transformant.']"
182, GM02674A is a type of Finite cell line.,[],"['', 'GM02674A', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
183,portion of blood is the origin of the DA01405.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA01405.']"
184,DA01405 is a type of Transformed cell line.,[],"['DA01405', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
185,AG05414 was derived from skin of arm.,[],"['AG05414', 'was', 'derived', 'from', 'skin', 'of', 'arm.']"
186,The Epstein-Barr virus transformed DA01405.,[],"['The', 'Epstein-Barr', 'virus', 'transformed', 'DA01405.']"
187,DA01405 cell line belongs to the category of Transformed cell line.,[],"['DA01405', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
188,The AC16 [Human hybrid cardiomyocyte] cell line contains Betapolyomavirus macacae as a transformant.,"[Span[1:2]: ""AC16"" → CellLine (0.9990)]","['The', 'AC16', '[Human', 'hybrid', 'cardiomyocyte]', 'cell', 'line', 'contains', 'Betapolyomavirus', 'macacae', 'as', 'a', 'transformant.']"
189,DA01405 is a type of Transformed cell line.,[],"['DA01405', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
190,DA01405 was derived from blood.,[],"['DA01405', 'was', 'derived', 'from', 'blood.']"
191,The Finite cell line includes GM04220.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM04220.']"
192,GM09045 was derived from portion of blood.,[],"['GM09045', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
193,The Human herpesvirus type 4 transformed GM09045.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'GM09045.']"
194,thigh bone is the origin of the  OSACL.,[],"['thigh', 'bone', 'is', 'the', 'origin', 'of', 'the', '', 'OSACL.']"
195,Epstein-Barr virus is the transformant in the GM09045 cell line.,[],"['Epstein-Barr', 'virus', 'is', 'the', 'transformant', 'in', 'the', 'GM09045', 'cell', 'line.']"
196,The Transformed cell line includes GM09045.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM09045.']"
197,human papillomavirus 18 is the transformant in the  D98-AH2-CloneB cell line.,"[Span[8:9]: ""D98-AH2-CloneB"" → CellLine (0.9997)]","['human', 'papillomavirus', '18', 'is', 'the', 'transformant', 'in', 'the', '', 'D98-AH2-CloneB', 'cell', 'line.']"
198,GM09045 is a type of Transformed cell line.,[],"['GM09045', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
199,The GM09045 cell line contains Human herpesvirus 4 (Epstein-Barr virus) as a transformant.,[],"['The', 'GM09045', 'cell', 'line', 'contains', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'as', 'a', 'transformant.']"
200,The Cancer cell line includes  LOUNH91.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""LOUNH91"" → CellLine (0.9954)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'LOUNH91.']"
201,JL137 comes from a patient with Cri du Chat Syndrome.,[],"['JL137', 'comes', 'from', 'a', 'patient', 'with', 'Cri', 'du', 'Chat', 'Syndrome.']"
202,portion of blood is the origin of the JL137.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'JL137.']"
203,The donor of U-1285dox has Small cell lung cancer.,[],"['The', 'donor', 'of', 'U-1285dox', 'has', 'Small', 'cell', 'lung', 'cancer.']"
204,GM50112 comes from a patient with Monosomy 5p syndrome.,[],"['GM50112', 'comes', 'from', 'a', 'patient', 'with', 'Monosomy', '5p', 'syndrome.']"
205,JL137 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""JL137"" → CellLine (0.9999)]","['JL137', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
206,The donor of ND02712 has Parkinson Disease.,[],"['The', 'donor', 'of', 'ND02712', 'has', 'Parkinson', 'Disease.']"
207,JL137 was derived from portion of blood.,[],"['JL137', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
208,The Human herpesvirus 4 transformed JL137.,[],"['The', 'Human', 'herpesvirus', '4', 'transformed', 'JL137.']"
209,AG10390 is sourced from skin of arm.,[],"['AG10390', 'is', 'sourced', 'from', 'skin', 'of', 'arm.']"
210,The JL137 cell line contains Human herpesvirus type 4 as a transformant.,"[Span[1:2]: ""JL137"" → CellLine (0.9997)]","['The', 'JL137', 'cell', 'line', 'contains', 'Human', 'herpesvirus', 'type', '4', 'as', 'a', 'transformant.']"
211,JL137 was derived from blood.,[],"['JL137', 'was', 'derived', 'from', 'blood.']"
212,The Macaca mulatta polyomavirus 1 transformed GM16093.,[],"['The', 'Macaca', 'mulatta', 'polyomavirus', '1', 'transformed', 'GM16093.']"
213,The Transformed cell line includes GM50112.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM50112.']"
214,GM50112 was derived from blood.,[],"['GM50112', 'was', 'derived', 'from', 'blood.']"
215,The Finite cell line includes  Tig3.,[],"['The', 'Finite', 'cell', 'line', 'includes', '', 'Tig3.']"
216,"DA04992 comes from a patient with Diabetes, Type II.",[],"['DA04992', 'comes', 'from', 'a', 'patient', 'with', 'Diabetes,', 'Type', 'II.']"
217,The DA04992 cell line contains Human herpesvirus 4 (Epstein-Barr virus) as a transformant.,[],"['The', 'DA04992', 'cell', 'line', 'contains', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'as', 'a', 'transformant.']"
218,The donor of La Bel has Kyphoscoliotic Ehlers-Danlos syndrome.,[],"['The', 'donor', 'of', 'La', 'Bel', 'has', 'Kyphoscoliotic', 'Ehlers-Danlos', 'syndrome.']"
219,portion of blood is the origin of the DA04992.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA04992.']"
220,DA04992 comes from a patient with Type II Diabetes.,[],"['DA04992', 'comes', 'from', 'a', 'patient', 'with', 'Type', 'II', 'Diabetes.']"
221, COLO #680N is sourced from oesophagus.,[],"['', 'COLO', '#680N', 'is', 'sourced', 'from', 'oesophagus.']"
222,The DA04992 cell line contains Human herpesvirus 4 (Epstein-Barr virus) as a transformant.,[],"['The', 'DA04992', 'cell', 'line', 'contains', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'as', 'a', 'transformant.']"
223,"A patient of Diabetes, Type 2 contributed to DA04992.",[],"['A', 'patient', 'of', 'Diabetes,', 'Type', '2', 'contributed', 'to', 'DA04992.']"
224,The v-Myc transformed HB1.F3.,[],"['The', 'v-Myc', 'transformed', 'HB1.F3.']"
225,The Transformed cell line includes DA04992.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA04992.']"
226,DA04992 comes from a patient with Type II Diabetes Mellitus.,[],"['DA04992', 'comes', 'from', 'a', 'patient', 'with', 'Type', 'II', 'Diabetes', 'Mellitus.']"
227,The Finite cell line includes GM06122.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM06122.']"
228,A patient of T2DM - Type 2 Diabetes mellitus contributed to DA00333.,[],"['A', 'patient', 'of', 'T2DM', '-', 'Type', '2', 'Diabetes', 'mellitus', 'contributed', 'to', 'DA00333.']"
229,DA00333 is sourced from portion of blood.,[],"['DA00333', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
230,GM16184 comes from a patient with Familial dysautonomia.,[],"['GM16184', 'comes', 'from', 'a', 'patient', 'with', 'Familial', 'dysautonomia.']"
231,DA00333 is sourced from blood.,[],"['DA00333', 'is', 'sourced', 'from', 'blood.']"
232,Human herpesvirus 4 (Epstein-Barr virus) is the transformant in the DA00333 cell line.,[],"['Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'is', 'the', 'transformant', 'in', 'the', 'DA00333', 'cell', 'line.']"
233,terminal portion of intestine is the origin of the Hs 200.T.,[],"['terminal', 'portion', 'of', 'intestine', 'is', 'the', 'origin', 'of', 'the', 'Hs', '200.T.']"
234,The Human herpesvirus 4 (Epstein-Barr virus) transformed DA00333.,[],"['The', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'transformed', 'DA00333.']"
235,The donor of DA00333 has Non-Insulin Dependent Diabetes Mellitus.,[],"['The', 'donor', 'of', 'DA00333', 'has', 'Non-Insulin', 'Dependent', 'Diabetes', 'Mellitus.']"
236,Polyomavirus maccacae 1 is the transformant in the AC16 [Human hybrid cardiomyocyte] cell line.,"[Span[8:9]: ""AC16"" → CellLine (1.0000)]","['Polyomavirus', 'maccacae', '1', 'is', 'the', 'transformant', 'in', 'the', 'AC16', '[Human', 'hybrid', 'cardiomyocyte]', 'cell', 'line.']"
237,DA00333 is a type of Transformed cell line.,[],"['DA00333', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
238,A patient of Type II Diabetes mellitus contributed to DA00333.,[],"['A', 'patient', 'of', 'Type', 'II', 'Diabetes', 'mellitus', 'contributed', 'to', 'DA00333.']"
239,The Finite cell line includes AG06872.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'AG06872.']"
240,vertebrate blood is the origin of the DA03692.,[],"['vertebrate', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA03692.']"
241,DA03692 is a type of Transformed cell line.,[],"['DA03692', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
242,GM04478 is sourced from entire skin.,[],"['GM04478', 'is', 'sourced', 'from', 'entire', 'skin.']"
243,The Human herpesvirus type 4 transformed DA03692.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'DA03692.']"
244,The Transformed cell line includes DA03692.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA03692.']"
245,Rhesus macaque polyomavirus is the transformant in the GM16093 cell line.,[],"['Rhesus', 'macaque', 'polyomavirus', 'is', 'the', 'transformant', 'in', 'the', 'GM16093', 'cell', 'line.']"
246,DA03692 is a type of Transformed cell line.,[],"['DA03692', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
247,DA03692 was derived from portion of blood.,[],"['DA03692', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
248,GM 3859 is a type of Finite cell line.,"[Span[0:2]: ""GM 3859"" → CellLine (0.9730)]","['GM', '3859', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
249,VMRCLCP comes from a patient with Squamous Cell Carcinoma of Lung.,[],"['VMRCLCP', 'comes', 'from', 'a', 'patient', 'with', 'Squamous', 'Cell', 'Carcinoma', 'of', 'Lung.']"
250,VMRCLCP cell line belongs to the category of Cancer cell line.,"[Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['VMRCLCP', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
251,The donor of GM05748 has Farber Lipogranulomatosis.,[],"['The', 'donor', 'of', 'GM05748', 'has', 'Farber', 'Lipogranulomatosis.']"
252,VMRC-LCP was derived from pulmo.,[],"['VMRC-LCP', 'was', 'derived', 'from', 'pulmo.']"
253, Patton comes from a patient with LUSC.,[],"['', 'Patton', 'comes', 'from', 'a', 'patient', 'with', 'LUSC.']"
254,GM08741 is sourced from vertebrate blood.,[],"['GM08741', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
255,VMRCLCP is a type of Cancer cell line.,"[Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]","['VMRCLCP', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
256,The donor of  Virginia Mason Research Center-Lung Cancer P has Epidermoid Cell Carcinoma of the Lung.,[],"['The', 'donor', 'of', '', 'Virginia', 'Mason', 'Research', 'Center-Lung', 'Cancer', 'P', 'has', 'Epidermoid', 'Cell', 'Carcinoma', 'of', 'the', 'Lung.']"
257,The Transformed cell line includes ND08674.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'ND08674.']"
258,DA03535 is sourced from portion of blood.,[],"['DA03535', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
259,DA03535 is a type of Transformed cell line.,[],"['DA03535', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
260,GM06122 is sourced from skin of body.,[],"['GM06122', 'is', 'sourced', 'from', 'skin', 'of', 'body.']"
261,The DA03535 cell line contains Epstein-Barr virus EBV as a transformant.,[],"['The', 'DA03535', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'EBV', 'as', 'a', 'transformant.']"
262,DA03535 cell line belongs to the category of Transformed cell line.,[],"['DA03535', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
263,The human T-cell leukemia/lymphoma virus type I HTLV-I transformed CB57/C91PL.,[],"['The', 'human', 'T-cell', 'leukemia/lymphoma', 'virus', 'type', 'I', 'HTLV-I', 'transformed', 'CB57/C91PL.']"
264,The Transformed cell line includes DA03535.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA03535.']"
265,Human herpesvirus 4 is the transformant in the DA03535 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'DA03535', 'cell', 'line.']"
266, 1810 cell line belongs to the category of Cancer cell line.,"[Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['', '1810', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
267,DA00111 is sourced from blood.,[],"['DA00111', 'is', 'sourced', 'from', 'blood.']"
268,DA00111 cell line belongs to the category of Transformed cell line.,[],"['DA00111', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
269,AG10390 is sourced from arm skin.,[],"['AG10390', 'is', 'sourced', 'from', 'arm', 'skin.']"
270,Human herpesvirus 4 is the transformant in the DA00111 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'DA00111', 'cell', 'line.']"
271,DA00111 was derived from portion of blood.,[],"['DA00111', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
272,human T-lymphotropic virus type I HTLV-I is the transformant in the CB57/C91PL cell line.,"[Span[11:12]: ""CB57"" → CellLine (0.7067), Span[13:14]: ""C91PL"" → CellLine (0.9496)]","['human', 'T-lymphotropic', 'virus', 'type', 'I', 'HTLV-I', 'is', 'the', 'transformant', 'in', 'the', 'CB57/C91PL', 'cell', 'line.']"
273,DA00111 cell line belongs to the category of Transformed cell line.,[],"['DA00111', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
274,The DA00111 cell line contains human gammaherpesvirus 4 as a transformant.,[],"['The', 'DA00111', 'cell', 'line', 'contains', 'human', 'gammaherpesvirus', '4', 'as', 'a', 'transformant.']"
275,The Finite cell line includes  GM 983.,[],"['The', 'Finite', 'cell', 'line', 'includes', '', 'GM', '983.']"
276,fibroblast is the cell type for GM-213.,[],"['fibroblast', 'is', 'the', 'cell', 'type', 'for', 'GM-213.']"
277,The Finite cell line includes GM00213.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM00213.']"
278,GM08035 is skin fibroblast.,[],"['GM08035', 'is', 'skin', 'fibroblast.']"
279,The Finite cell line includes GM00213.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM00213.']"
280,fibroblast is the cell type for GM00213.,[],"['fibroblast', 'is', 'the', 'cell', 'type', 'for', 'GM00213.']"
281,DA00417 cell line belongs to the category of Transformed cell line.,[],"['DA00417', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
282,A patient of Non-Insulin Dependent Diabetes Mellitus contributed to DA06110.,[],"['A', 'patient', 'of', 'Non-Insulin', 'Dependent', 'Diabetes', 'Mellitus', 'contributed', 'to', 'DA06110.']"
283,DA06110 cell line belongs to the category of Transformed cell line.,[],"['DA06110', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
284,The donor of  CCRFCEM has T-Cell Childhood Acute Lymphoblastic Leukemia.,[],"['The', 'donor', 'of', '', 'CCRFCEM', 'has', 'T-Cell', 'Childhood', 'Acute', 'Lymphoblastic', 'Leukemia.']"
285,DA06110 was derived from vertebrate blood.,[],"['DA06110', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
286,Human herpesvirus 4 is the transformant in the DA06110 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'DA06110', 'cell', 'line.']"
287, AI-LNCaP was derived from left supraclavicular lymph node.,[],"['', 'AI-LNCaP', 'was', 'derived', 'from', 'left', 'supraclavicular', 'lymph', 'node.']"
288,The DA06110 cell line contains Epstein Barr virus as a transformant.,[],"['The', 'DA06110', 'cell', 'line', 'contains', 'Epstein', 'Barr', 'virus', 'as', 'a', 'transformant.']"
289,DA06110 was derived from portion of blood.,[],"['DA06110', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
290,Polyomavirus maccacae is the transformant in the SVOG-3e cell line.,"[Span[7:8]: ""SVOG-3e"" → CellLine (0.9998)]","['Polyomavirus', 'maccacae', 'is', 'the', 'transformant', 'in', 'the', 'SVOG-3e', 'cell', 'line.']"
291,The Transformed cell line includes DA06110.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA06110.']"
292,The donor of DA06110 has Type II Diabetes Mellitus.,[],"['The', 'donor', 'of', 'DA06110', 'has', 'Type', 'II', 'Diabetes', 'Mellitus.']"
293,The Finite cell line includes AG06872.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'AG06872.']"
294,ND10118 comes from a patient with Amyotrophic lateral sclerosis.,[],"['ND10118', 'comes', 'from', 'a', 'patient', 'with', 'Amyotrophic', 'lateral', 'sclerosis.']"
295,Human herpesvirus type 4 is the transformant in the ND10118 cell line.,"[Span[9:10]: ""ND10118"" → CellLine (0.9979)]","['Human', 'herpesvirus', 'type', '4', 'is', 'the', 'transformant', 'in', 'the', 'ND10118', 'cell', 'line.']"
296,KB-CP20 comes from a patient with Human Papillomavirus- Associated Endocervical Adenocarcinoma.,[],"['KB-CP20', 'comes', 'from', 'a', 'patient', 'with', 'Human', 'Papillomavirus-', 'Associated', 'Endocervical', 'Adenocarcinoma.']"
297,The donor of ND10118 has Amyotrophic lateral sclerosis.,[],"['The', 'donor', 'of', 'ND10118', 'has', 'Amyotrophic', 'lateral', 'sclerosis.']"
298,ND10118 is a type of Transformed cell line.,[],"['ND10118', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
299,A patient of Huntington's Disease contributed to GM05560B.,[],"['A', 'patient', 'of', ""Huntington's"", 'Disease', 'contributed', 'to', 'GM05560B.']"
300,ND10118 was derived from portion of blood.,[],"['ND10118', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
301,ND10118 is a type of Transformed cell line.,[],"['ND10118', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
302,umbilical cord blood is the origin of the CB57/C91PL.,[],"['umbilical', 'cord', 'blood', 'is', 'the', 'origin', 'of', 'the', 'CB57/C91PL.']"
303,The ND10118 cell line contains Epstein-Barr virus as a transformant.,"[Span[1:2]: ""ND10118"" → CellLine (0.9922)]","['The', 'ND10118', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'as', 'a', 'transformant.']"
304,The Transformed cell line includes ND10118.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'ND10118.']"
305,Polyomavirus maccacae 1 is the transformant in the  AG06096A cell line.,[],"['Polyomavirus', 'maccacae', '1', 'is', 'the', 'transformant', 'in', 'the', '', 'AG06096A', 'cell', 'line.']"
306,ND10118 is a type of Transformed cell line.,[],"['ND10118', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
307,ND10118 is sourced from portion of blood.,[],"['ND10118', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
308,Hep AD38 cell line belongs to the category of Cancer cell line.,"[Span[0:2]: ""Hep AD38"" → CellLine (0.9999), Span[9:12]: ""Cancer cell line"" → CellLine (0.9999)]","['Hep', 'AD38', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
309,AG10801 comes from a patient with Progeria.,[],"['AG10801', 'comes', 'from', 'a', 'patient', 'with', 'Progeria.']"
310,AG10801 is a type of Transformed cell line.,"[Span[0:1]: ""AG10801"" → CellLine (0.9822)]","['AG10801', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
311,SKG-IIIb comes from a patient with Human Papillomavirus-Related Cervical Squamous Cell Carcinoma.,[],"['SKG-IIIb', 'comes', 'from', 'a', 'patient', 'with', 'Human', 'Papillomavirus-Related', 'Cervical', 'Squamous', 'Cell', 'Carcinoma.']"
312,A patient of Hutchinson-Gilford progeria syndrome contributed to AG10801.,[],"['A', 'patient', 'of', 'Hutchinson-Gilford', 'progeria', 'syndrome', 'contributed', 'to', 'AG10801.']"
313,AG10801 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""AG10801"" → CellLine (0.9967)]","['AG10801', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
314,The donor of GM14620 has Symptomatic form of HFE-related hemochromatosis.,[],"['The', 'donor', 'of', 'GM14620', 'has', 'Symptomatic', 'form', 'of', 'HFE-related', 'hemochromatosis.']"
315,AG10801 is sourced from vertebrate blood.,[],"['AG10801', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
316,AG10801 comes from a patient with Premature Senility Syndrome.,[],"['AG10801', 'comes', 'from', 'a', 'patient', 'with', 'Premature', 'Senility', 'Syndrome.']"
317,lymph node is the origin of the  H-292.,"[Span[7:8]: ""H-292"" → CellLine (0.9976)]","['lymph', 'node', 'is', 'the', 'origin', 'of', 'the', '', 'H-292.']"
318,The Epstein-Barr virus transformed AG10801.,[],"['The', 'Epstein-Barr', 'virus', 'transformed', 'AG10801.']"
319,AG10801 comes from a patient with Hutchinson-Gilford progeria syndrome.,[],"['AG10801', 'comes', 'from', 'a', 'patient', 'with', 'Hutchinson-Gilford', 'progeria', 'syndrome.']"
320,The Rhesus macaque polyomavirus transformed RPE-28 Sv4.,"[Span[5:6]: ""RPE-28"" → CellLine (0.9988)]","['The', 'Rhesus', 'macaque', 'polyomavirus', 'transformed', 'RPE-28', 'Sv4.']"
321,AG10801 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""AG10801"" → CellLine (0.9967)]","['AG10801', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
322,AG10801 comes from a patient with Hutchinson-Gilford progeria syndrome.,[],"['AG10801', 'comes', 'from', 'a', 'patient', 'with', 'Hutchinson-Gilford', 'progeria', 'syndrome.']"
323,The Finite cell line includes AG08941.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'AG08941.']"
324,ND00334 comes from a patient with Parkinson's Disease.,[],"['ND00334', 'comes', 'from', 'a', 'patient', 'with', ""Parkinson's"", 'Disease.']"
325,portion of blood is the origin of the ND00334.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'ND00334.']"
326,The donor of CJM-15 cl4-3 has Squamous Cell Carcinoma of Mouth.,[],"['The', 'donor', 'of', 'CJM-15', 'cl4-3', 'has', 'Squamous', 'Cell', 'Carcinoma', 'of', 'Mouth.']"
327,blood is the origin of the ND00334.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'ND00334.']"
328,ND00334 is a type of Transformed cell line.,[],"['ND00334', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
329,2F7 was derived from lymph node.,[],"['2F7', 'was', 'derived', 'from', 'lymph', 'node.']"
330,Human herpesvirus type 4 is the transformant in the ND00334 cell line.,[],"['Human', 'herpesvirus', 'type', '4', 'is', 'the', 'transformant', 'in', 'the', 'ND00334', 'cell', 'line.']"
331,ND00334 comes from a patient with Parkinson's Disease.,[],"['ND00334', 'comes', 'from', 'a', 'patient', 'with', ""Parkinson's"", 'Disease.']"
332,Kirsten murine sarcoma virus is the transformant in the KHOS312H cell line.,"[Span[9:10]: ""KHOS312H"" → CellLine (1.0000)]","['Kirsten', 'murine', 'sarcoma', 'virus', 'is', 'the', 'transformant', 'in', 'the', 'KHOS312H', 'cell', 'line.']"
333,ND00334 is a type of Transformed cell line.,[],"['ND00334', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
334,ND00334 was derived from portion of blood.,[],"['ND00334', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
335,AG06872 is a type of Finite cell line.,[],"['AG06872', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
336,The donor of ND11727 has Amyotrophic Lateral Sclerosis.,[],"['The', 'donor', 'of', 'ND11727', 'has', 'Amyotrophic', 'Lateral', 'Sclerosis.']"
337,blood is the origin of the ND11727.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'ND11727.']"
338,The donor of ND00004 has Parkinson's Disease.,[],"['The', 'donor', 'of', 'ND00004', 'has', ""Parkinson's"", 'Disease.']"
339,The donor of ND11727 has Amyotrophic lateral sclerosis.,[],"['The', 'donor', 'of', 'ND11727', 'has', 'Amyotrophic', 'lateral', 'sclerosis.']"
